Date,Adress,Size,Rooms,Broker,Rent,Price
29 januari 2021,Lillhagsvägen 22,90,4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,6344,3050000
29 januari 2021,Västmannagatan 13,91,4,HusmanHagberg Vasastan,4480,9300000
29 januari 2021,"Norra Agnegatan 34 A, 1 tr, Över Gård",93,4,Widerlöv Stockholm,3612,10050000
27 januari 2021,Harplingegränd 76,95,4,SkandiaMäklarna Årsta,4823,3085000
27 januari 2021,"Beckomberga Ängsväg 20, 2tr",91,4,Svenska Mäklarhuset Bromma,4730,4695000
27 januari 2021,Grafikvägen 30,94,4,Erik Olsson Fastighetsförmedling,4770,6320000
27 januari 2021,"Rådmansgatan 43, 4 tr",91,3,Mäklarhuset Stockholm Innerstan,2416,10100000
27 januari 2021,"Åsögatan 122, 3 tr",94,4,Mäklarhuset Stockholm Innerstan,2176,9575000
25 januari 2021,"Torsplan 8, 21 tr",90,4,MOHV Stockholm AB,5109,11300000
25 januari 2021,Högviltsgatan 10,91,4,Unik Fastighetsförmedling AB,5051,7400000
24 januari 2021,"Torsgatan 41, 7tr",92,4,Fastighetsbyrån Stockholm - Vasastan,3067,14500000
22 januari 2021,"Gröndalsvägen 210, vån 3",93,4,Notar,3802,7500000
22 januari 2021,"Fredriksdalsgatan 11, 5tr","93,5",4,BOSTHLM Fastighetsmäklare AB,4990,8300000
22 januari 2021,Johan Skyttes väg 374,94,4,BOSTHLM Älvsjö,5757,6250000
21 januari 2021,Gransätragränd 21,92,4,Notar,5242,3750000
21 januari 2021,"Sturehillsvägen 9, högt läge!",91,4,BOSTHLM Älvsjö,4541,6650000
20 januari 2021,"Erik Dahlbergsgatan 51, 2 tr",92,4,Fastighetsbyrån Stockholm – Östermalm,4159,9000000
20 januari 2021,"Lämmelgränd 11, 2tr",91,4,Bjurfors Bromma,4576,7280000
20 januari 2021,"Sjöviksbacken 47, 5 tr",91,4,Mäklarhuset Stockholm Innerstan,5061,6650000
20 januari 2021,"Sköntorpsvägen 124, 2 tr",94,4,BOSthlm Årsta,5371,6175000
18 januari 2021,Luftskeppsgatan 10,90,4,Fastighetsbyrån Enskede,6114,3600000
18 januari 2021,"Settergatan 8, 6tr",91,4,Notar,4697,9850000
17 januari 2021,"Tyskbagargatan 14, 5tr",92,3,Notar,4249,11050000
16 januari 2021,Solberga hagväg 13,94,4,Länsförsäkringar Fastighetsförmedling Stockholm - Hägersten,5195,4125000
15 januari 2021,"Filipstadsbacken 50, 3tr",91,4,Notar,4711,3265000
15 januari 2021,Johan Skyttes Väg 189,92,4,Svenska Mäklarhuset Älvsjö/Bandhagen,4618,4850000
14 januari 2021,Högbergsgatan 72,91,4,Historiska Hem,3680,9330000
14 januari 2021,Filipstadsbacken 56,91,4,HusmanHagberg Farsta,5718,2900000
13 januari 2021,Frövigatan 12,90,4,SkandiaMäklarna Älvsjö,5078,2690000
13 januari 2021,Förlandagränd 28,95,4,Mäklarhuset Hammarbyhöjden,4743,3200000
12 januari 2021,Götgatan 118,94,4,Bjurfors Södermalm,4006,6960000
12 januari 2021,"Edagränd 14,1tr",93,4,Svenska Mäklarhuset Farsta,5295,4300000
11 januari 2021,Badstrandsvägen 6,93,3,Wallin & Co AB,4219,8900000
7 januari 2021,P O Hallmans Gata 1,93,4,Mäklarhuset Stockholm Innerstan,5374,7100000
22 december 2020,"Valhallavägen 73, 5tr",95,3,BlumenthalHoffman Fastighetsmäkleri,5747,11500000
18 december 2020,Majrovägen 37,93,4,Fastighetsbyrån Enskede,5986,4500000
17 december 2020,Sandhamnsgatan 75F,90,4,Unik Fastighetsförmedling AB,4144,9100000
16 december 2020,"Lignagatan 7, 5 tr",92,4,Fastighetsbyrån Stockholm - Södermalm,4096,7300000
16 december 2020,Öregrundsgatan 18,"94,7",4,Notar,4433,6800000
16 december 2020,Styrmansgatan 17 A,94,4,Wrede Fastighetsmäkleri,2453,12100000
14 december 2020,Fyrvaktarkroken 70,"92,5",4,HusmanHagberg Enskede,5335,5850000
13 december 2020,Storängsgatan 17,90,4,Fastighetsbyrån Stockholm – Norra Djurgårdsstaden,4450,8500000
