Date,Adress,Size,Rooms,Broker,Rent,Price
20210319.0,Tummelisas Gata 4,94.0,4.0,Svenska Mäklarhuset Bromma,5460.0,5635000.0
20210319.0,Södermannagatan 50A,94.0,3.0,Bjurfors Södermalm,5589.0,9525000.0
20210319.0,Flintbacken 28,94.5,4.0,BOSTHLM Älvsjö,4142.0,9100000.0
20210318.0,Solberga hagväg 13,90.0,4.0,Länsförsäkringar Fastighetsförmedling Stockholm - Hägersten,5008.0,3500000.0
20210318.0,Sonja Kovalevskys Gata 6,91.0,4.0,Bronze Fastighetsförmedling AB,4880.0,9250000.0
20210318.0,Svartviksslingan 82,90.5,4.0,MOHV Bromma,5306.0,6260000.0
20210317.0,Inedalsgatan 9C,95.0,4.0,Fastighetsbyrån Stockholm - Kungsholmen,3417.0,7950000.0
20210317.0,Gransätragränd 21,94.5,4.0,Länsförsäkringar Fastighetsförmedling Stockholm - Fruängen,5712.0,3200000.0
20210317.0,Majrovägen 27,93.0,4.0,ERA Enskede-Farsta kontoret,6417.0,5025000.0
20210315.0,Dalagatan 25A,90.0,4.0,Fastighetsbyrån Stockholm - Vasastan,3695.0,11050000.0
20210315.0,Tummelisas gata 4,95.0,4.0,Svenska Mäklarhuset Bromma,5460.0,5400000.0
20210314.0,Slättvägen 3,94.0,3.0,HusmanHagberg Bromma,2656.0,10900000.0
20210313.0,Kista alléväg 9,91.1,4.0,Våningen & Villan Stockholm,4803.0,3695000.0
20210312.0,Wollmar Yxkullsgatan 38,90.0,4.0,ERA Storstad,2979.0,9000000.0
20210311.0,Stjernströms Väg 9,94.3,4.0,Bjurfors Liljeholmen Hägersten,5357.0,6265000.0
20210311.0,Kista Alléväg 9,91.1,4.0,Våningen & Villan Stockholm,4803.0,3795000.0
20210310.0,Erik Tegels väg 39,93.0,4.0,Länsförsäkringar Fastighetsförmedling Stockholm - Vällingby,5124.0,2750000.0
20210310.0,Nyårsvägen 20,92.0,4.0,Svensk Fastighetsförmedling Hägersten-Liljeholmen,5813.0,7530000.0
2021039.0,Tummelisas gata 4,95.0,4.0,Svenska Mäklarhuset Bromma,5460.0,5500000.0
2021039.0,Plåtslagarvägen 20,90.5,4.0,HusmanHagberg Bromma,5735.0,6750000.0
2021038.0,Ekhagsvägen 7,93.0,4.0,Historiska Hem,5279.0,7500000.0
2021038.0,Elsa Borgs gata 46,91.0,4.0,Länsförsäkringar Fastighetsförmedling Stockholm - Hägersten,5437.0,4200000.0
