Date,Adress,Size,Rooms,Broker,Rent,Price,NearbyPOIs,Latitude,Longitude,PricePerKvm,PricePerRoom
20210414.0,Majrovägen 29,93.0,4.0,ERA Enskede-Farsta kontoret,6354.0,5250000.0,21.0,59.26127777730629,18.0780029296875,56452.0,1312500.0
20210413.0,Kubbegatan 3,95.0,4.0,HusmanHagberg Farsta,4827.0,4000000.0,14.0,59.25741698987298,18.1109619140625,42105.0,1000000.0
20210413.0,Filipstadsbacken 60,91.0,4.0,Notar,5718.0,3010000.0,27.0,59.237755288974256,18.104782104492188,33077.0,752500.0
20210413.0,Redargatan 3,93.0,3.0,Svenska Mäklarhuset Hammarby Sjöstad,4622.0,7200000.0,458.0,59.30266598923771,18.090362548828125,77419.0,2400000.0
20210413.0,Bjulevägen 23,93.0,4.0,BOSTHLM Älvsjö,7496.0,3750000.0,36.0,59.280925913943385,18.042984008789066,40323.0,937500.0
20210412.0,Svartviksslingan 96,90.5,4.0,MOHV Bromma,5190.0,6800000.0,99.0,59.33945219145792,17.989425659179688,75138.0,1700000.0
20210412.0,Björngårdsgatan 3,91.0,3.0,Svensk Fastighetsförmedling Sthlm Södermalm,3903.0,7000000.0,1400.0,59.31738524754815,18.065643310546875,76923.0,2333333.0
20210411.0,Hammarby allé 119,91.0,4.0,BOSTHLM Fastighetsmäklare AB,4495.0,6900000.0,239.0,59.30336705077536,18.099288940429688,75824.0,1725000.0
2021049.0,Tellusgatan 17,95.0,3.0,Svenska Mäklarhuset Hägersten/Liljeholmen,5071.0,6500000.0,76.0,59.29880989250096,17.989425659179688,68421.0,2166667.0
2021048.0,Hammarögatan 26,93.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5446.0,4245000.0,1800.0,59.32915150430002,18.06255340576172,45645.0,1061250.0
2021048.0,Härjedalsgatan 78,92.0,4.0,Svensk Fastighetsförmedling Vällingby/Hässelby/Spånga,4584.0,3500000.0,29.0,59.36675332054797,17.876129150390625,38043.0,875000.0
2021046.0,Karlsbodavägen 40,91.5,4.0,Fastighetsbyrån Bromma,6213.0,5300000.0,123.0,59.35835531153387,17.961959838867188,57923.0,1325000.0
2021045.0,Hammarögatan 26,93.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5446.0,4045000.0,1800.0,59.32915150430002,18.06255340576172,43495.0,1011250.0
2021045.0,Tummelisas Gata 4,95.0,4.0,Mäklarhuset Bromma,5460.0,5750000.0,65.0,59.36220465697896,17.949600219726562,60526.0,1437500.0
20210331.0,Hammarögatan 26,93.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5446.0,4095000.0,1800.0,59.32915150430002,18.06255340576172,44032.0,1023750.0
20210331.0,Alva myrdals gata 8,92.0,4.0,Länsförsäkringar Fastighetsförmedling Stockholm - Hägersten,5126.0,5150000.0,29.0,59.28723897948804,17.952346801757812,55978.0,1287500.0
20210331.0,Telefonvägen 25,92.0,4.0,Fastighetsbyrån Hägersten/Älvsjö,5042.0,7060000.0,96.0,59.29951103351009,18.000411987304688,76739.0,1765000.0
20210331.0,Tummelisas gata 4,95.0,4.0,Svenska Mäklarhuset Bromma,5460.0,5200000.0,65.0,59.36220465697896,17.949600219726562,54737.0,1300000.0
20210331.0,Vinodlargatan 6,95.0,4.0,Bjurfors Liljeholmen Hägersten,5317.0,6620000.0,184.0,59.30687214173611,18.03131103515625,69684.0,1655000.0
20210330.0,Hammarögatan 26,93.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5446.0,4295000.0,1800.0,59.32915150430002,18.06255340576172,46183.0,1073750.0
20210330.0,Folkparksvägen 160,91.5,3.0,BOSTHLM Älvsjö,5313.0,4850000.0,42.0,59.28197817283924,18.011398315429688,53005.0,1616667.0
20210326.0,Skebokvarnsvägen 6,93.5,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5719.0,4600000.0,25.0,59.27285751518919,18.043670654296875,49198.0,1150000.0
20210325.0,Drachmannsgatan 4,90.0,4.0,Notar,5007.0,6400000.0,26.0,59.3443540109297,17.88848876953125,71111.0,1600000.0
20210324.0,Snickerigatan 14,95.0,4.0,Länsförsäkringar Fastighetsförmedling Stockholm - Hägersten,5237.0,7330000.0,73.0,59.299160464811756,17.988739013671875,77158.0,1832500.0
20210324.0,Beckomberga Ängsväg 22,91.0,4.0,Svenska Mäklarhuset Bromma,4730.0,5400000.0,20.0,59.356955441303576,17.89947509765625,59341.0,1350000.0
20210323.0,Skönviksvägen 284,90.0,4.0,HusmanHagberg Enskede,4410.0,5820000.0,26.0,59.27180497440097,18.053970336914066,64667.0,1455000.0
20210323.0,Bergslagsvägen 74,90.5,4.0,Erik Olsson Fastighetsförmedling,4904.0,5550000.0,19.0,59.342603442332475,17.927627563476562,61326.0,1387500.0
20210319.0,Skeppstavägen 31,93.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5516.0,4200000.0,28.0,59.26689268727064,18.058090209960934,45161.0,1050000.0
20210319.0,Tummelisas Gata 4,94.0,4.0,Svenska Mäklarhuset Bromma,5460.0,5635000.0,65.0,59.36220465697896,17.949600219726562,59947.0,1408750.0
20210318.0,Solberga hagväg 13,90.0,4.0,Länsförsäkringar Fastighetsförmedling Stockholm - Hägersten,5008.0,3500000.0,32.0,59.280575153750675,18.008651733398438,38889.0,875000.0
20210318.0,Svartviksslingan 82,90.5,4.0,MOHV Bromma,5306.0,6260000.0,86.0,59.33980234488247,17.985992431640625,69171.0,1565000.0
20210317.0,Gransätragränd 21,94.5,4.0,Länsförsäkringar Fastighetsförmedling Stockholm - Fruängen,5712.0,3200000.0,29.0,59.283731865392866,17.9132080078125,33862.0,800000.0
20210317.0,Majrovägen 27,93.0,4.0,ERA Enskede-Farsta kontoret,6417.0,5025000.0,21.0,59.26127777730629,18.078689575195312,54032.0,1256250.0
20210315.0,Tummelisas gata 4,95.0,4.0,Svenska Mäklarhuset Bromma,5460.0,5400000.0,65.0,59.36220465697896,17.949600219726562,56842.0,1350000.0
20210313.0,Kista alléväg 9,91.1,4.0,Våningen & Villan Stockholm,4803.0,3695000.0,81.0,59.40766386158333,17.944107055664062,40560.0,923750.0
20210311.0,Stjernströms Väg 9,94.3,4.0,Bjurfors Liljeholmen Hägersten,5357.0,6265000.0,51.0,59.30301652181264,17.978439331054688,66437.0,1566250.0
20210311.0,Kista Alléväg 9,91.1,4.0,Våningen & Villan Stockholm,4803.0,3795000.0,81.0,59.40766386158333,17.944107055664062,41658.0,948750.0
20210310.0,Erik Tegels väg 39,93.0,4.0,Länsförsäkringar Fastighetsförmedling Stockholm - Vällingby,5124.0,2750000.0,19.0,59.38179455652339,17.9132080078125,29570.0,687500.0
2021039.0,Tummelisas gata 4,95.0,4.0,Svenska Mäklarhuset Bromma,5460.0,5500000.0,65.0,59.36220465697896,17.949600219726562,57895.0,1375000.0
2021039.0,Plåtslagarvägen 20,90.5,4.0,HusmanHagberg Bromma,5735.0,6750000.0,33.0,59.337001016413105,17.94891357421875,74586.0,1687500.0
2021038.0,Elsa Borgs gata 46,91.0,4.0,Länsförsäkringar Fastighetsförmedling Stockholm - Hägersten,5437.0,4200000.0,29.0,59.28232891857718,17.964019775390625,46154.0,1050000.0
2021037.0,Ågesta Broväg 48,94.0,4.0,Bjurfors Hammarby/Skarpnäck & Farsta,5229.0,4885000.0,30.0,59.23986244221345,18.102035522460934,51968.0,1221250.0
2021034.0,Lillhagsvägen 24,90.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,6344.0,2880000.0,21.0,59.267594485949715,18.013458251953125,32000.0,720000.0
2021033.0,Slättåkragränd 26,95.0,4.0,Fastighetsbyrån Hägersten/Älvsjö,5255.0,3060000.0,40.0,59.290395073236354,18.032684326171875,32211.0,765000.0
2021033.0,Gransätragränd 11,94.5,4.0,Tomas Mäklarbyrå AB,5647.0,3180000.0,31.0,59.282679660701504,17.911834716796875,33651.0,795000.0
2021033.0,Pilvingegatan 42,90.0,4.0,BOSthlm Årsta,5575.0,3660000.0,24.0,59.268998039932356,18.12812805175781,40667.0,915000.0
2021032.0,Gammelgårdsvägen 28,90.0,4.0,MOHV Solna,4314.0,6995000.0,83.0,59.32229025129797,17.988739013671875,77722.0,1748750.0
2021031.0,Norrbackagatan 7,91.0,3.0,Fastighetsbyrån Stockholm - Vasastan,2899.0,7240000.0,487.0,59.34015249469734,18.029937744140625,79560.0,2413333.0
20210227.0,Fyrvaktarkroken 59,93.0,4.0,HusmanHagberg Enskede,4632.0,6650000.0,143.0,59.290395073236354,18.094482421875,71505.0,1662500.0
20210227.0,Vintrosagatan 11,95.0,4.0,BOSTHLM Älvsjö,4873.0,3500000.0,20.0,59.262330643415616,18.016891479492188,36842.0,875000.0
20210226.0,Kratsbodavägen 44D,90.0,4.0,Bjurfors Bromma,4530.0,6995000.0,105.0,59.36080494551446,17.95440673828125,77722.0,1748750.0
20210226.0,Tummelisas Gata 4,94.0,4.0,Svenska Mäklarhuset Bromma,5460.0,5500000.0,65.0,59.36220465697896,17.949600219726562,58511.0,1375000.0
20210224.0,Anna sandströms gata 4,95.0,4.0,HusmanHagberg Hägersten,5215.0,5200000.0,32.0,59.287940358946784,17.966766357421875,54737.0,1300000.0
20210222.0,Västertorpsvägen 158,93.0,4.0,Fastighetsbyrån Hägersten/Älvsjö,5319.0,4800000.0,30.0,59.28969374436223,17.952346801757812,51613.0,1200000.0
